Country,happiness_score,gdp_per_cap,soc_supp,freedom_score,generosity_score,corruption_score,LMIC_ind,health_ind
"Congo, Republic of",-0.718540284,-0.544547294,NA,0.306912467,-0.921195392,-0.377553226,1,0
Bangladesh,-0.771223589,-0.929535496,-1.489457834,0.72561297,NA,0.307331437,1,0
Sri Lanka,-0.797118773,0.061167477,0.25562669,NA,1.308758742,-0.653551522,1,0
Iraq,-0.810512833,0.297293574,-1.034381913,-1.025316406,-0.332735273,NA,1,0
Mali,-0.81854927,-1.345322754,-0.04901091,-0.625647744,-0.425650029,-0.592218567,1,NA
Namibia,-0.823906894,-0.051762396,0.131515076,0.338632202,-1.334149861,-0.510441294,1,0
Cambodia,-0.831050393,-0.8859035,-0.594349824,1.461510823,NA,-0.500219135,1,0
Burkina Faso,-0.839086829,-1.489051683,-0.560501201,-0.97456483,-0.053991007,0.14377689,1,0
Egypt,-0.843551516,-0.023529928,-0.831290179,-0.97456483,-0.91087153,-0.070888451,1,NA
Mozambique,-0.845337391,-1.786775893,-1.293888017,0.414759566,0.266048707,0.450441665,1,0
Kenya,-0.851587953,-1.029632429,-0.744788145,0.243472997,1.77333252,-0.602440727,1,0
Zambia,-0.881054886,-0.852537856,-0.748549103,0.23712905,0.420906633,-0.32644243,1,0
Mauritania,-0.899806571,-0.865370796,-0.003879413,-2.135507133,-0.477269338,-0.213998679,1,0
Ethiopia,-0.905164195,-1.504451211,-1.113362032,-0.086412248,0.410582771,NA,1,NA
Georgia,-0.914093569,-0.105660744,NA,-0.574896168,-1.468360064,1.033104735,1,0
Armenia,-0.931059379,NA,-0.96292371,-1.304450074,-1.065729456,-0.878439023,1,0
Myanmar,-0.942667565,-0.544547294,-0.270907433,NA,4.313002506,0.654884847,1,0
Chad,-0.948918126,-1.376121811,NA,-1.754870312,0.007952164,-0.551329931,1,0
"Congo, Democratic Republic of ",-0.998922619,-2.117865746,-0.413823838,-0.97456483,0.173133951,-0.633107204,1,NA
India,-1.048034175,-0.444450362,NA,0.465511142,-0.084962592,-0.213998679,1,0
Niger,-1.069464672,-1.958737289,-1.425521548,-0.479736963,-0.053991007,-0.152665725,1,0
Uganda,-1.073929358,-1.468518979,-0.586827908,-0.099100142,0.813213379,-0.541107772,1,0
Benin,-1.091788106,-1.32479005,-3.287195771,-0.162539612,-0.177877347,-0.479774817,1,NA
Sudan,-1.093573981,-0.742174571,-0.022684204,NA,-0.477269338,-0.32644243,1,0
Ukraine,-1.125719726,-0.259656025,0.627961535,NA,0.069895334,-1.052215729,1,0
Togo,-1.218585213,-1.630214024,-2.903578053,-0.200603294,-0.229496656,-0.132221406,1,0
Guinea,-1.249838021,-1.412054043,NA,-0.454361175,0.049247611,-0.20377652,1,0
Lesotho,-1.389136251,-1.083530777,-0.116708154,-0.270386711,-0.663098849,-0.019777656,1,NA
Angola,-1.400744437,-0.42135107,-0.455194377,NA,-1.045081733,-0.541107772,1,0
Madagascar,-1.419496122,-1.62251426,-1.271322269,-1.551864008,-0.260468241,NA,1,NA
Zimbabwe,-1.492716986,-1.378688399,-0.571784076,-0.378233811,-0.497917061,-0.152665725,1,0
Afghanistan,-1.546293229,-1.442853099,NA,-2.414640802,0.111190781,-0.79666175,1,0
Botswana,-1.583796598,0.31525969,-0.270907433,0.579702188,-1.427064617,-0.224220838,1,0
Malawi,-1.58647541,-1.817574949,NA,0.414759566,0.307344154,-0.346886748,1,0
Haiti,-1.590940097,-1.486485095,-2.000948126,-2.795277622,NA,NA,1,0
Liberia,-1.668625649,-2.09989963,-1.45937017,-0.295762499,0.266048707,-0.857994705,1,NA
Syrian Arab Republic,-1.698092582,-0.526581178,NA,NA,2.021105201,0.307331437,1,0
Rwanda,-1.7463112,-1.442853099,-1.316453765,1.080874002,0.204105537,3.373979178,1,0
Yemen,-1.793636881,-1.160528417,-0.650764194,-1.405953227,-1.003786286,-0.510441294,1,NA
Tanzania,-1.840069624,-1.127162773,-0.959162752,0.097562215,0.926775858,-0.173110043,1,0
South Sudan,-1.883823556,-1.430020159,-2.399609677,-2.243354232,0.451878218,NA,1,NA
Central African Republic,-2.036515846,-2.233362207,NA,-1.018972459,0.389935048,-0.776217432,1,0
Burundi,-2.195458699,-2.06140081,-2.328151474,-2.541519742,-0.322411412,-0.387775385,1,NA
